Gender,Age,Annual Income,Profession,Bought
male,48,47205,Gamer,1
male,57,82040,Software Engineer,1
female,75,25226,Gamer,1
male,73,8056,Student,0
male,22,18763,Video Editor,1
male,50,25233,Accountant,0
female,40,31469,Video Editor,0
female,53,53633,Graphic Designer,1
male,28,43633,Video Editor,1
male,59,103279,Accountant,0
female,25,24596,Video Editor,1
male,21,30786,Freelancer,1
female,40,46368,Gamer,1
male,20,33906,Accountant,0
female,34,127890,Student,0
female,31,123991,Graphic Designer,1
female,67,69189,Teacher,0
male,18,31746,Graphic Designer,1
male,46,131974,Accountant,0
female,45,34299,Accountant,0
male,33,31706,Graphic Designer,1
male,58,84778,Graphic Designer,1
female,29,39287,Doctor,0
male,38,82002,Business Professional,0
male,63,100859,Business Professional,0
female,41,27075,Software Engineer,1
female,39,8575,Doctor,0
female,31,10071,Gamer,1
female,45,23378,Accountant,0
female,39,105248,Accountant,0
female,27,62996,Software Engineer,1
male,24,54384,Accountant,0
male,39,98311,Video Editor,1
female,59,35528,Video Editor,0
male,52,105092,Business Professional,0
female,38,60434,Gamer,1
female,64,24596,Business Professional,0
male,55,88878,Video Editor,0
female,69,42166,Gamer,1
male,61,9174,Software Engineer,1
male,40,74333,Video Editor,1
male,23,31713,Software Engineer,1
female,35,9753,Software Engineer,1
male,46,84879,Freelancer,1
female,69,25691,Graphic Designer,0
female,39,108566,Student,0
male,66,82321,Doctor,0
female,23,11873,Software Engineer,1
male,62,3929,Video Editor,0
male,56,55715,Graphic Designer,1
male,41,63020,Business Professional,0
male,52,67848,Freelancer,1
male,40,59705,Software Engineer,1
male,54,37773,Software Engineer,1
female,57,7635,Accountant,0
female,25,80190,Video Editor,1
female,23,66678,Video Editor,1
female,54,71220,Teacher,0
male,67,68043,Graphic Designer,1
female,49,111778,Freelancer,1
female,66,108227,Student,0
female,74,125729,Teacher,0
female,67,124795,Freelancer,0
male,37,90819,Teacher,0
male,71,64591,Gamer,1
male,18,8325,Freelancer,1
female,38,34862,Doctor,0
male,73,66580,Student,0
female,38,4918,Freelancer,0
male,40,100622,Teacher,0
female,55,127146,Graphic Designer,0
female,54,132759,Video Editor,0
male,43,128099,Student,0
male,65,14779,Teacher,0
female,55,43081,Doctor,0
male,52,51935,Gamer,1
female,37,8618,Teacher,0
female,30,139127,Gamer,1
male,28,23378,Doctor,1
female,60,127973,Graphic Designer,0
female,61,83521,Graphic Designer,0
female,35,27346,Doctor,0
male,23,50338,Accountant,0
female,33,117760,Doctor,0
male,20,125914,Video Editor,1
male,71,33666,Accountant,0
female,37,134647,Freelancer,1
female,65,24799,Graphic Designer,0
male,21,133797,Teacher,0
male,23,77004,Teacher,0
male,30,38677,Student,1
female,54,23049,Software Engineer,1
male,34,118726,Video Editor,1
female,47,120503,Gamer,1
male,35,20121,Student,0
female,37,64433,Student,0
male,22,82840,Student,1
male,68,131221,Software Engineer,1
male,50,67514,Teacher,0
male,62,20293,Business Professional,0
male,34,115306,Freelancer,1
male,53,85815,Graphic Designer,1
female,47,46995,Video Editor,0
male,33,51109,Student,1
male,62,78358,Doctor,0
male,74,28752,Accountant,0
female,52,101753,Teacher,0
male,49,93307,Freelancer,1
male,66,48563,Freelancer,1
female,23,127518,Business Professional,0
male,41,89604,Video Editor,1
female,69,88064,Freelancer,0
male,30,126474,Gamer,1
male,72,104554,Video Editor,0
male,74,17514,Student,0
female,73,110690,Business Professional,0
female,23,78654,Freelancer,1
male,67,44935,Accountant,0
male,52,66829,Accountant,0
male,21,96910,Doctor,1
female,70,123296,Student,0
male,24,78098,Accountant,0
female,18,51024,Accountant,0
female,42,4871,Accountant,0
male,35,9583,Business Professional,0
female,63,62270,Business Professional,0
male,35,137659,Software Engineer,1
female,29,4400,Graphic Designer,1
female,32,102707,Accountant,0
female,29,115466,Doctor,0
female,68,86180,Video Editor,0
female,46,17430,Software Engineer,1
female,47,44064,Student,0
female,44,101282,Video Editor,0
female,63,110039,Software Engineer,1
female,33,70507,Teacher,0
male,32,14553,Accountant,0
female,52,126372,Freelancer,1
male,34,53899,Freelancer,1
male,74,63453,Teacher,0
male,64,75307,Freelancer,1
female,38,36589,Accountant,0
female,22,54150,Accountant,0
female,21,65713,Video Editor,1
female,43,113689,Software Engineer,1
female,66,61742,Student,0
female,32,94155,Doctor,0
female,75,31405,Video Editor,0
male,46,13228,Video Editor,1
male,24,129673,Accountant,0
female,69,59033,Accountant,0
male,52,70424,Software Engineer,1
male,57,65281,Graphic Designer,1
female,73,41311,Doctor,0
male,55,71023,Freelancer,1
female,58,92133,Accountant,0
male,66,136506,Student,0
male,26,73717,Student,1
male,50,68311,Video Editor,1
male,59,98991,Gamer,1
female,35,20129,Video Editor,0
female,70,88890,Gamer,1
female,70,11858,Business Professional,0
male,40,75362,Video Editor,1
female,52,7379,Video Editor,0
male,73,44874,Accountant,0
male,27,88230,Business Professional,1
male,40,31676,Student,0
female,40,7154,Business Professional,0
female,74,16445,Accountant,0
male,57,116660,Freelancer,1
male,18,105420,Graphic Designer,1
male,44,100682,Teacher,0
male,51,62965,Doctor,0
female,29,123047,Business Professional,0
female,18,115419,Video Editor,1
male,63,83324,Business Professional,0
female,56,13203,Business Professional,0
female,71,95652,Gamer,1
male,30,80479,Software Engineer,1
male,34,101744,Teacher,0
male,36,87808,Doctor,0
male,71,132362,Gamer,1
male,39,72196,Software Engineer,1
male,46,99588,Doctor,0
female,35,30034,Freelancer,1
male,50,77870,Video Editor,1
female,43,20204,Software Engineer,1
female,30,79678,Video Editor,1
male,33,62251,Business Professional,1
male,70,94787,Graphic Designer,1
female,70,128920,Business Professional,0
male,41,22479,Business Professional,0
female,62,122336,Teacher,0
male,72,97032,Business Professional,0
male,33,78692,Student,1
male,37,12640,Teacher,0
female,54,127472,Software Engineer,1
male,34,112591,Business Professional,1
male,60,5626,Student,0
female,33,77009,Gamer,1
female,51,68043,Freelancer,1
male,71,83635,Software Engineer,1
female,73,65528,Business Professional,0
male,34,84976,Freelancer,1
male,31,73816,Accountant,0
female,22,73811,Doctor,0
male,58,129644,Business Professional,0
female,57,19372,Doctor,0
male,51,121423,Video Editor,1
female,50,26332,Video Editor,0
male,42,3899,Business Professional,0
male,24,99602,Software Engineer,1
female,73,77832,Teacher,0
female,49,31721,Accountant,0
female,70,47382,Business Professional,0
female,39,73974,Student,0
female,40,33695,Gamer,1
female,43,128747,Gamer,1
male,51,136180,Freelancer,1
male,25,74215,Business Professional,1
female,74,98116,Freelancer,0
female,67,127895,Freelancer,0
female,28,125003,Gamer,1
male,71,110058,Accountant,0
female,55,91353,Doctor,0
female,34,22811,Accountant,0
female,74,43310,Graphic Designer,0
female,34,82263,Graphic Designer,1
female,33,44482,Video Editor,1
female,24,51117,Student,0
male,63,97850,Freelancer,1
female,59,41320,Student,0
female,44,61555,Teacher,0
male,63,65055,Graphic Designer,1
female,19,137609,Business Professional,0
male,66,114578,Teacher,0
female,23,42910,Accountant,0
male,26,117665,Doctor,1
male,23,104606,Software Engineer,1
male,59,115807,Freelancer,1
female,56,85149,Video Editor,0
male,68,10731,Student,0
male,36,79377,Accountant,0
male,60,105352,Accountant,0
male,27,117694,Teacher,0
female,48,30803,Software Engineer,1
male,28,22927,Video Editor,1
female,21,91083,Teacher,0
male,71,134018,Accountant,0
male,48,5895,Student,0
female,42,115032,Software Engineer,1
female,48,62955,Gamer,1
female,35,135959,Gamer,1
male,43,138273,Business Professional,0
female,60,137786,Accountant,0
female,64,113557,Freelancer,0
male,29,102439,Doctor,1
female,43,25498,Student,0
male,49,80542,Teacher,0
male,36,81902,Business Professional,0
male,74,20912,Video Editor,0
female,37,106088,Accountant,0
female,47,17745,Doctor,0
female,19,138057,Teacher,0
female,40,44179,Teacher,0
female,72,44173,Accountant,0
male,42,56784,Accountant,0
male,18,104633,Video Editor,1
male,49,43023,Business Professional,0
male,40,126280,Student,0
male,40,74702,Accountant,0
female,74,62662,Freelancer,0
female,50,97887,Freelancer,1
female,24,85162,Student,0
female,35,31910,Teacher,0
female,26,48106,Gamer,1
female,59,65499,Accountant,0
male,25,138586,Business Professional,1
male,20,50166,Accountant,0
male,20,5913,Video Editor,1
female,42,44886,Graphic Designer,1
male,52,56822,Business Professional,0
male,59,119594,Doctor,0
male,27,78683,Software Engineer,1
female,48,128476,Doctor,0
male,51,126604,Freelancer,1
male,61,31266,Student,0
female,22,124968,Video Editor,1
male,64,60429,Gamer,1
male,28,107560,Accountant,0
male,67,48599,Software Engineer,1
male,66,74461,Video Editor,0
female,52,92710,Accountant,0
male,22,86860,Business Professional,1
male,28,6926,Student,0
male,33,109472,Teacher,0
female,35,68512,Software Engineer,1
male,60,128519,Gamer,1
female,37,31134,Graphic Designer,1
female,48,44807,Doctor,0
male,52,34982,Student,0
female,69,41775,Doctor,0
male,23,49015,Accountant,0
male,19,115906,Software Engineer,1
male,22,14068,Teacher,0
male,67,137882,Accountant,0
male,51,79132,Graphic Designer,1
male,44,38329,Doctor,0
male,75,98504,Software Engineer,1
female,33,76183,Accountant,0
male,75,76984,Business Professional,0
male,50,28419,Software Engineer,1
male,66,100674,Teacher,0
female,74,100454,Accountant,0
female,66,64364,Graphic Designer,0
female,41,50347,Teacher,0
female,58,113537,Teacher,0
female,23,53777,Freelancer,1
female,26,111662,Freelancer,1
female,54,83603,Graphic Designer,1
female,50,79621,Software Engineer,1
male,62,134081,Gamer,1
female,75,97862,Doctor,0
female,73,36257,Accountant,0
female,62,131414,Teacher,0
female,35,58245,Freelancer,1
female,72,50405,Doctor,0
female,60,112600,Freelancer,0
male,63,13824,Doctor,0
male,50,37350,Accountant,0
female,72,36827,Software Engineer,1
male,33,92022,Business Professional,1
male,49,111324,Software Engineer,1
male,31,49024,Software Engineer,1
female,70,46502,Software Engineer,1
male,64,19089,Student,0
male,58,72975,Software Engineer,1
male,43,83626,Gamer,1
female,56,53582,Business Professional,0
female,54,41478,Business Professional,0
female,32,130822,Graphic Designer,1
male,62,23006,Teacher,0
female,40,59115,Gamer,1
female,34,24284,Student,0
female,63,56991,Video Editor,0
male,23,103373,Business Professional,1
male,64,40497,Graphic Designer,1
female,66,86388,Graphic Designer,0
female,24,52687,Teacher,0
female,64,46840,Software Engineer,1
male,44,4333,Accountant,0
male,74,138824,Teacher,0
male,59,7265,Accountant,0
male,58,25113,Gamer,1
female,47,78911,Student,0
female,69,51251,Business Professional,0
female,74,76913,Doctor,0
male,57,48031,Graphic Designer,1
female,50,72472,Business Professional,0
female,24,14674,Accountant,0
male,62,34746,Gamer,1
male,25,115104,Doctor,1
female,23,125116,Video Editor,1
female,50,63481,Accountant,0
female,48,28813,Accountant,0
female,71,59257,Software Engineer,1
male,39,33893,Software Engineer,1
male,63,100699,Teacher,0
male,35,22326,Software Engineer,1
male,43,89565,Graphic Designer,1
female,61,84122,Software Engineer,1
female,73,54959,Graphic Designer,0
female,44,90222,Doctor,0
female,39,106021,Business Professional,0
female,40,92903,Gamer,1
male,66,58181,Doctor,0
female,25,24541,Graphic Designer,1
male,43,26287,Accountant,0
female,38,79511,Accountant,0
female,65,39590,Gamer,1
male,34,3597,Accountant,0
male,65,101163,Gamer,1
female,70,73311,Business Professional,0
male,20,136441,Graphic Designer,1
male,37,125871,Teacher,0
male,25,15785,Doctor,1
female,33,87743,Doctor,0
female,30,17194,Software Engineer,1
male,28,115508,Accountant,0
male,62,102871,Teacher,0
male,47,119775,Software Engineer,1
male,26,102235,Doctor,1
female,48,16055,Video Editor,0
female,20,100277,Student,0
male,24,83900,Student,1
female,73,89981,Software Engineer,1
female,22,7049,Teacher,0
female,53,73253,Business Professional,0
male,47,74754,Student,0
male,55,85054,Software Engineer,1
male,41,67978,Freelancer,1
female,23,81231,Video Editor,1
male,22,44869,Business Professional,1
male,38,39587,Teacher,0
female,42,33404,Student,0
male,56,126243,Video Editor,0
male,24,7907,Student,1
female,42,119588,Business Professional,0
male,70,89061,Software Engineer,1
female,56,124681,Software Engineer,1
male,23,23657,Software Engineer,1
male,36,96442,Freelancer,1
female,43,18281,Student,0
female,69,89947,Business Professional,0
male,56,132140,Doctor,0
female,36,122012,Accountant,0
male,24,8732,Gamer,1
male,30,24506,Doctor,1
male,61,65752,Freelancer,1
male,39,130585,Gamer,1
female,68,93408,Teacher,0
female,46,9145,Software Engineer,1
female,54,28909,Accountant,0
male,54,27061,Software Engineer,1
female,23,58485,Accountant,0
female,20,107733,Graphic Designer,1
female,41,97258,Business Professional,0
female,71,33752,Graphic Designer,0
female,36,23794,Video Editor,0
male,21,127385,Business Professional,1
female,35,78181,Student,0
female,26,75304,Gamer,1
female,72,92913,Graphic Designer,0
male,68,64735,Gamer,1
female,56,70017,Student,0
female,22,78589,Software Engineer,1
female,54,124941,Teacher,0
female,59,123632,Teacher,0
female,59,42454,Graphic Designer,0
female,54,116828,Accountant,0
female,49,70786,Graphic Designer,1
male,60,74657,Freelancer,1
female,34,51350,Teacher,0
male,64,135218,Gamer,1
female,50,61438,Accountant,0
female,58,43995,Software Engineer,1
female,23,29267,Student,0
male,49,119293,Graphic Designer,1
female,21,90843,Graphic Designer,1
female,27,28691,Teacher,0
female,45,95660,Freelancer,1
male,66,104224,Video Editor,0
male,61,132431,Accountant,0
female,59,81472,Business Professional,0
male,71,53075,Doctor,0
female,57,14830,Video Editor,0
male,48,47700,Accountant,0
female,19,112722,Graphic Designer,1
male,75,19083,Teacher,0
male,20,65846,Video Editor,1
male,37,136678,Doctor,0
female,64,98972,Business Professional,0
female,42,22379,Doctor,0
female,70,102535,Video Editor,0
male,54,29645,Software Engineer,1
male,27,8570,Student,1
male,41,129998,Student,0
male,73,19567,Teacher,0
female,38,65599,Video Editor,0
male,72,92958,Video Editor,0
female,37,8039,Software Engineer,1
male,46,50852,Business Professional,0
male,72,39664,Business Professional,0
female,27,85059,Student,0
male,75,31534,Gamer,1
female,33,13487,Business Professional,0
female,54,7289,Video Editor,0
male,49,23808,Doctor,0
female,75,25666,Business Professional,0
female,47,86992,Graphic Designer,1
male,35,90147,Business Professional,0
male,52,13025,Video Editor,1
male,60,106874,Graphic Designer,1
male,59,24008,Gamer,1
female,41,50332,Freelancer,1
female,72,114284,Graphic Designer,0
female,44,22477,Freelancer,1
male,31,30679,Software Engineer,1
female,21,134872,Business Professional,0
male,66,137591,Freelancer,1
female,73,103720,Graphic Designer,0
male,48,13040,Doctor,0
male,47,83327,Gamer,1
female,35,62314,Gamer,1
female,25,136216,Freelancer,1
female,30,104707,Student,0
female,18,41245,Doctor,0
female,73,75080,Accountant,0
female,62,114154,Student,0
male,53,55496,Freelancer,1
female,75,18056,Teacher,0
female,65,138444,Accountant,0
male,45,42866,Business Professional,0
female,35,54687,Business Professional,0
male,60,40340,Student,0
female,73,44150,Doctor,0
male,71,17641,Video Editor,0
male,32,53526,Student,1
female,30,27391,Student,0
male,67,99983,Student,0
female,44,20179,Software Engineer,1
male,28,16906,Business Professional,1
female,43,10653,Software Engineer,1
female,22,49848,Business Professional,0
male,47,86682,Doctor,0
female,58,35306,Software Engineer,1
male,44,73424,Doctor,0
male,55,57139,Software Engineer,1
male,42,36396,Graphic Designer,1
male,56,33737,Student,0
male,37,96757,Teacher,0
male,23,97222,Student,1
male,68,64272,Teacher,0
female,24,89818,Gamer,1
female,53,83065,Accountant,0
male,58,102988,Accountant,0
male,54,68837,Student,0
male,32,122786,Business Professional,1
female,38,50365,Doctor,0
male,37,67076,Business Professional,0
male,59,118718,Freelancer,1
male,59,76537,Student,0
male,56,55005,Graphic Designer,1
female,66,138993,Doctor,0
male,72,34016,Accountant,0
female,40,81676,Freelancer,1
female,19,76363,Gamer,1
female,71,17276,Freelancer,0
male,27,95094,Gamer,1
female,61,111090,Gamer,1
female,31,115665,Teacher,0
female,67,111568,Gamer,1
male,38,111793,Gamer,1
female,43,15546,Teacher,0
female,31,133888,Graphic Designer,1
male,64,23204,Student,0
female,45,22374,Doctor,0
male,65,81713,Doctor,0
male,18,62982,Software Engineer,1
male,38,61709,Teacher,0
male,64,70438,Graphic Designer,1
male,43,109902,Student,0
male,29,115504,Video Editor,1
female,34,57260,Graphic Designer,1
male,40,6806,Gamer,1
male,39,50546,Gamer,1
female,73,103374,Freelancer,0
male,39,56844,Software Engineer,1
male,53,123295,Accountant,0
female,45,16582,Gamer,1
male,36,16888,Teacher,0
female,45,94990,Freelancer,1
male,18,80210,Freelancer,1
female,34,30594,Doctor,0
female,73,30338,Teacher,0
male,42,138831,Doctor,0
male,36,5029,Video Editor,0
male,34,9525,Freelancer,1
male,33,15506,Doctor,1
male,47,95070,Student,0
male,56,128836,Graphic Designer,1
female,50,117981,Software Engineer,1
male,65,135022,Freelancer,1
female,59,35402,Business Professional,0
female,36,100704,Software Engineer,1
female,75,46055,Video Editor,0
male,39,103962,Video Editor,1
male,53,99066,Doctor,0
male,65,71571,Gamer,1
female,73,131455,Freelancer,0
female,34,113890,Graphic Designer,1
female,66,133828,Video Editor,0
male,75,19341,Student,0
female,37,18367,Gamer,1
male,37,4489,Student,0
female,27,93964,Accountant,0
male,64,24620,Software Engineer,1
female,64,49727,Student,0
female,24,67327,Doctor,0
male,63,130511,Freelancer,1
female,28,128553,Student,0
female,60,5820,Accountant,0
female,39,78370,Doctor,0
male,51,124882,Doctor,0
female,31,23839,Teacher,0
male,71,41115,Teacher,0
male,37,139349,Gamer,1
male,24,78465,Video Editor,1
male,59,4418,Business Professional,0
male,55,89292,Gamer,1
female,18,46897,Student,0
male,46,39081,Accountant,0
male,46,92004,Student,0
male,71,79372,Business Professional,0
female,45,48228,Software Engineer,1
male,63,63495,Teacher,0
female,26,106651,Student,0
female,45,78671,Gamer,1
female,45,131460,Doctor,0
female,18,101544,Teacher,0
male,64,101782,Business Professional,0
male,44,130883,Student,0
female,62,76718,Graphic Designer,0
female,20,21374,Software Engineer,1
male,40,37884,Gamer,1
female,32,30652,Software Engineer,1
male,66,88868,Freelancer,1
female,48,130032,Doctor,0
male,23,60571,Gamer,1
female,32,100277,Gamer,1
male,48,61674,Accountant,0
male,69,110955,Student,0
female,25,119487,Business Professional,0
male,35,39231,Teacher,0
female,62,85407,Software Engineer,1
female,32,113277,Software Engineer,1
female,52,47316,Student,0
female,36,30516,Accountant,0
male,49,62357,Accountant,0
male,65,131819,Software Engineer,1
female,57,81261,Video Editor,0
female,35,102782,Software Engineer,1
female,19,18331,Accountant,0
male,55,49613,Software Engineer,1
male,69,56419,Doctor,0
female,47,99391,Doctor,0
male,39,121312,Freelancer,1
female,46,112455,Business Professional,0
female,62,115187,Gamer,1
male,72,18050,Software Engineer,1
male,41,138296,Teacher,0
male,35,92082,Accountant,0
male,29,61549,Video Editor,1
female,67,114278,Accountant,0
male,52,81258,Gamer,1
male,39,37012,Student,0
male,48,90190,Accountant,0
female,31,49654,Business Professional,0
male,22,65409,Gamer,1
female,67,125635,Teacher,0
male,26,102824,Software Engineer,1
male,29,98284,Freelancer,1
male,67,78153,Video Editor,0
female,64,50103,Graphic Designer,0
female,22,85493,Doctor,0
male,74,103674,Teacher,0
male,65,108530,Gamer,1
male,34,6396,Teacher,0
female,53,110577,Software Engineer,1
female,44,32109,Accountant,0
female,28,64524,Accountant,0
female,66,117099,Business Professional,0
male,56,68976,Graphic Designer,1
male,29,12934,Business Professional,1
male,26,99513,Doctor,1
male,66,49528,Gamer,1
female,33,35520,Gamer,1
female,37,57434,Freelancer,1
male,50,111691,Freelancer,1
male,27,110566,Software Engineer,1
male,69,56168,Video Editor,0
female,37,87875,Business Professional,0
male,45,130556,Gamer,1
male,36,19548,Business Professional,0
female,47,28116,Accountant,0
female,67,75475,Teacher,0
male,20,73578,Video Editor,1
male,24,14561,Graphic Designer,1
female,59,30299,Doctor,0
male,38,22828,Teacher,0
female,31,98685,Accountant,0
female,62,91625,Doctor,0
male,25,43404,Gamer,1
male,55,25782,Gamer,1
male,32,24599,Teacher,0
male,41,67356,Doctor,0
male,32,14627,Teacher,0
male,55,88750,Software Engineer,1
male,73,33358,Doctor,0
male,72,85735,Graphic Designer,1
female,25,102482,Student,0
female,72,99228,Video Editor,0
male,56,23467,Doctor,0
male,44,21626,Gamer,1
male,62,94266,Accountant,0
female,22,105426,Freelancer,1
male,47,108935,Student,0
female,59,28491,Freelancer,0
male,52,92134,Student,0
female,59,116326,Freelancer,0
male,62,37414,Gamer,1
male,66,80439,Software Engineer,1
female,25,50341,Accountant,0
female,61,90900,Accountant,0
female,74,7280,Software Engineer,1
female,37,6390,Graphic Designer,0
male,70,93414,Business Professional,0
female,33,104688,Business Professional,0
male,37,15597,Teacher,0
female,44,113739,Software Engineer,1
male,58,72258,Video Editor,0
male,67,69790,Accountant,0
male,32,124471,Video Editor,1
male,21,91861,Doctor,1
female,71,39061,Software Engineer,1
female,34,128607,Software Engineer,1
male,49,27857,Graphic Designer,1
male,24,95032,Business Professional,1
male,40,39818,Accountant,0
male,18,17803,Teacher,0
male,38,53429,Accountant,0
male,41,78141,Gamer,1
male,34,138726,Graphic Designer,1
female,62,69106,Graphic Designer,0
female,66,104826,Student,0
female,62,23692,Freelancer,0
male,29,105765,Freelancer,1
female,41,9553,Student,0
male,48,115175,Gamer,1
female,33,57576,Gamer,1
male,65,110413,Video Editor,0
female,65,134520,Software Engineer,1
male,23,96813,Freelancer,1
male,31,29257,Gamer,1
male,52,102835,Business Professional,0
male,37,117820,Teacher,0
female,28,60092,Student,0
male,74,21077,Student,0
male,60,43611,Business Professional,0
female,22,139099,Freelancer,1
male,61,30530,Doctor,0
male,24,92628,Teacher,0
male,37,129572,Student,0
male,56,17787,Freelancer,1
female,53,82333,Freelancer,1
male,45,39572,Software Engineer,1
male,45,116334,Software Engineer,1
male,58,78231,Doctor,0
female,36,88100,Business Professional,0
male,25,76221,Doctor,1
male,22,30221,Gamer,1
female,56,24100,Gamer,1
female,29,20938,Software Engineer,1
male,32,77920,Accountant,0
female,54,117284,Student,0
male,75,66611,Gamer,1
male,73,72992,Student,0
male,23,4538,Accountant,0
male,39,17597,Software Engineer,1
male,65,17359,Freelancer,1
male,48,29713,Graphic Designer,1
male,40,120629,Graphic Designer,1
male,18,7592,Gamer,1
female,31,71272,Accountant,0
female,53,30772,Teacher,0
female,21,63686,Doctor,0
male,32,75122,Accountant,0
female,69,55885,Teacher,0
female,51,117089,Gamer,1
female,43,113722,Gamer,1
female,75,34692,Graphic Designer,0
male,57,25287,Business Professional,0
female,23,75769,Teacher,0
female,18,52266,Teacher,0
female,68,136710,Video Editor,0
female,23,77912,Accountant,0
female,50,13300,Freelancer,1
